20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR00891;;;COST;CH10150;PR04060550;-258805.71792;EUR;MP10150010101;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-224016.54957;EUR;MP10150010602;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-89236.61856;EUR;MP10150010202;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-60891.9864;EUR;MP10150010101;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-50001.11757;EUR;MP10150010602;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-49724.36172;EUR;MP10150010602;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-47584.90036;EUR;MP10150010101;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-40728.41858;EUR;MP10150010101;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-39203.42961;EUR;MP10150010101;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-38039.11125;EUR;MP10150010602;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-36671.50521;EUR;MP10150010202;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-31669.41059;EUR;MP10150010101;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-31388.15265;EUR;MP10150010602;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-30874.10397;EUR;MP10150010101;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-30481.81053;EUR;MP10150010101;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-30453.95498;EUR;MP10150010602;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-26693.54275;EUR;MP10150010101;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-25864.68911;EUR;MP10150010101;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-25304.67228;EUR;MP10150010101;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-24420.85355;EUR;MP10150010602;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-24245.89469;EUR;MP10150010101;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-23936.50451;EUR;MP10150010602;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-23145.59219;EUR;MP10150010101;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-22423.47988;EUR;MP10150010603;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-21952.05386;EUR;MP10150010602;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-21313.77335;EUR;MP10150010602;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-20950.87903;EUR;MP10150010101;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-20053.46323;EUR;MP10150010602;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-19023.4266;EUR;MP10150010602;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-18060.24791;EUR;MP10150030513;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-17811.29711;EUR;MP10150010602;Actual;;;0
